Web ID,Region,Reported Date,Reported Year,Month Number,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
50894,North Africa,13-Feb-18,2018,,Feb,1,,1,,,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.719983000000, 16.166288000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44405,Mediterranean,12-Feb-18,2018,,Feb,1,,1,,1,,1,Presumed drowning,"Unspecified location in the Gibraltar Strait, between Morocco and Spain",Caminando Fronteras,"35.949766199352, -5.309639687500",Western Mediterranean,http://bit.ly/2BRJtJO,Uncategorized,4
50892,North Africa,12-Feb-18,2018,,Feb,3,,3,,1,2,1,"Starvation, Suffocation, Excessive Physical Abuse","Sahara desert, Sudan, near the border with Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.943709000000, 27.672666000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50891,North Africa,12-Feb-18,2018,,Feb,1,,1,,,1,,Fall from vehicle,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.880815000000, 13.038345000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44409,Mediterranean,12-Feb-18,2018,,Feb,1,,1,,,1,,Drowning,"Near Port of Cabopino, Málaga, Spain","Málaga Hoy, La Vanguardia, Onda Local","36.480420966708, -4.740933306885",Western Mediterranean,"http://bit.ly/2GfDtJa, http://bit.ly/2EKeArR, http://bit.ly/2BwXeNl",Uncategorized,3
44404,Mediterranean,11-Feb-18,2018,,Feb,1,,1,,,,,Drowning,"Off Bahara beach, Ouled Boughalem, 90km east of Mostaganem, Algeria","El Watan, Algérie Presse Service","36.424291687372, 0.620750723437",Western Mediterranean,"http://bit.ly/2Hba3gr, http://bit.ly/2BsbMgO",Uncategorized,3
44403,Mediterranean,11-Feb-18,2018,,Feb,,5,5,29,,,,Presumed drowning,"22 miles off Cabo Tres Forcas, Nador, Morocco","Caminando Fronteras, Europa Press","35.585153669322, -2.957796002344",Western Mediterranean,"http://bit.ly/2BRJtJO, http://bit.ly/2EfV4Qr",Uncategorized,4
50890,North Africa,11-Feb-18,2018,,Feb,1,,1,,,1,,Sickness and lack of access to medicines,"Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"20.380676000000, 25.698062000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44407,Mediterranean,10-Feb-18,2018,,Feb,1,,1,,,1,,Drowning,"Zeralda beach, near Algiers, Algeria","IOM Algeria, Alg24","36.729843473764, 2.792090733594",Western Mediterranean,http://bit.ly/2svyDFp,Uncategorized,1
44401,Mediterranean,9-Feb-18,2018,,Feb,3,,3,32,,3,,Hypothermia,27 miles southeast of Alboran Island in the Alboran Sea between Morocco and Spain,"Salvamento Marítimo, Caminando Fronteras","35.746320190537, -3.214241932031",Western Mediterranean,"http://bit.ly/2nO1eB3, http://bit.ly/2G6I54l, http://bit.ly/2EmmqIR",Uncategorized,5
44652,Mediterranean,9-Feb-18,2018,,Feb,7,,7,,,,,Presumed drowning,"Bodies retrieved in Zuwara, Libya",IOM Libya,"32.938443110773, 12.087154137109",Central Mediterranean,,Uncategorized,4
44400,Mediterranean,8-Feb-18,2018,,Feb,1,,1,,,,,Drowning,"Off Kaf Lasfer beach, between Sidi Lakhdar and Hadjadj, 36 km east of Mostaganem, Algeria","El Watan, Réflexion","36.185775189622, 0.259513731250",Western Mediterranean,"http://bit.ly/2G70iP1, http://bit.ly/2EltXro",Uncategorized,3
50887,North Africa,7-Feb-18,2018,,Feb,2,,2,,,2,,Starvation,"Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"32.788441000000, 12.489750000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50886,North Africa,6-Feb-18,2018,,Feb,3,,3,,2,1,1,"Sickness and lack of access to medicines, Vehicle Accident","Unspecified location in the Sahara desert, Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.396611000000, 26.693147000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50885,North Africa,6-Feb-18,2018,,Feb,2,,2,,1,1,1,"Sickness and lack of access to medicines, Vehicle Accident","Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"18.074280000000, 34.434548000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50884,North Africa,4-Feb-18,2018,,Feb,1,,1,,1,,,Starvation,"Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"32.783161000000, 12.476280000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50883,North Africa,4-Feb-18,2018,,Feb,1,,1,,,1,,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"24.001308000000, 14.193425000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50880,North Africa,3-Feb-18,2018,,Feb,1,,1,,1,,,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.141620000000, 23.988811000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44384,Mediterranean,3-Feb-18,2018,,Feb,21,26,47,1,8,31,5,Drowning,"Near Cabo Tres Forcas, 4 miles off the coast of Melilla, Spain","Caminando Fronteras, El Diario","35.583186593035, -2.795275034375",Western Mediterranean,"http://bit.ly/2s649d3, http://bit.ly/2EIKDpQ, http://bit.ly/2nGZDgv, http://bit.ly/2DuqHob",Uncategorized,3
50881,North Africa,3-Feb-18,2018,,Feb,2,,2,,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"32.779120000000, 12.490007000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
